iter	Passed	Remaining
0	15	37636
1	37	46702
2	61	50871
3	86	53948
4	103	51885
5	126	52378
6	143	50950
7	164	51247
8	185	51432
9	205	51252
10	231	52390
11	255	52913
12	275	52739
13	297	52831
14	320	53120
15	341	53081
16	364	53271
17	386	53256
18	409	53510
19	435	53955
20	454	53638
21	479	53959
22	503	54219
23	526	54311
24	552	54664
25	572	54451
26	594	54434
27	616	54471
28	638	54430
29	661	54442
30	682	54361
31	707	54546
32	727	54373
33	751	54535
34	772	54378
35	788	54001
36	813	54156
37	835	54128
38	858	54145
39	873	53730
40	901	54066
41	929	54401
42	953	54459
43	969	54138
44	991	54108
45	1014	54101
46	1033	53938
47	1052	53747
48	1067	53410
49	1084	53143
50	1107	53172
51	1130	53209
52	1145	52880
53	1158	52490
54	1174	52215
55	1195	52188
56	1216	52134
57	1238	52145
58	1259	52102
59	1282	52142
60	1303	52119
61	1321	51978
62	1344	52018
63	1365	51961
64	1383	51834
65	1404	51801
66	1426	51789
67	1438	51439
68	1461	51486
69	1486	51604
70	1514	51803
71	1538	51871
72	1564	51999
73	1580	51830
74	1597	51649
75	1621	51710
76	1644	51755
77	1667	51780
78	1690	51796
79	1711	51769
80	1733	51775
81	1757	51828
82	1780	51837
83	1801	51805
84	1822	51785
85	1839	51629
86	1857	51519
87	1880	51532
88	1897	51399
89	1920	51421
90	1936	51255
91	1949	51030
92	1961	50773
93	1985	50811
94	1998	50585
95	2011	50359
96	2030	50300
97	2043	50077
98	2062	50017
99	2082	49986
100	2104	49987
101	2116	49747
102	2138	49774
103	2154	49629
104	2169	49484
105	2188	49434
106	2198	49160
107	2216	49081
108	2236	49067
109	2256	49027
110	2272	48902
111	2298	48997
112	2324	49107
113	2353	49256
114	2363	49022
115	2394	49211
116	2420	49294
117	2441	49288
118	2456	49144
119	2470	49004
120	2488	48935
121	2506	48847
122	2528	48863
123	2551	48885
124	2562	48692
125	2582	48655
126	2606	48697
127	2630	48737
128	2644	48596
129	2665	48602
130	2690	48651
131	2713	48670
132	2727	48546
133	2750	48573
134	2759	48349
135	2768	48116
136	2785	48052
137	2806	48041
138	2827	48023
139	2848	48018
140	2869	48010
141	2882	47867
142	2906	47906
143	2929	47930
144	2943	47807
145	2957	47685
146	2973	47595
147	2989	47505
148	3008	47475
149	3019	47307
150	3037	47245
151	3046	47058
152	3054	46860
153	3063	46662
154	3087	46713
155	3101	46596
156	3122	46600
157	3135	46482
158	3148	46356
159	3170	46373
160	3192	46381
161	3213	46382
162	3236	46405
163	3258	46411
164	3284	46476
165	3308	46518
166	3323	46425
167	3345	46441
168	3355	46278
169	3369	46184
170	3393	46214
171	3410	46155
172	3424	46065
173	3438	45961
174	3466	46059
175	3499	46205
176	3513	46114
177	3537	46146
178	3558	46144
179	3577	46112
180	3592	46028
181	3607	45948
182	3625	45898
183	3642	45852
184	3657	45770
185	3667	45629
186	3682	45549
187	3706	45583
188	3730	45618
189	3753	45639
190	3767	45548
191	3794	45615
192	3813	45582
193	3827	45493
194	3843	45432
195	3866	45445
196	3886	45434
197	3903	45385
198	3921	45344
199	3943	45351
200	3956	45250
201	3975	45225
202	3997	45235
203	4014	45183
204	4036	45192
205	4056	45175
206	4071	45100
207	4094	45123
208	4117	45133
209	4139	45144
210	4156	45094
211	4177	45083
212	4196	45059
213	4219	45073
214	4234	45006
215	4256	45003
216	4269	44916
217	4292	44932
218	4315	44946
219	4332	44904
220	4354	44907
221	4364	44787
222	4377	44698
223	4397	44679
224	4421	44701
225	4443	44712
226	4469	44752
227	4493	44778
