iter	AUC	Logloss
0	0.7268838767	0.672778172911	0.7385250207	0.655703174
2	0.74357769	0.6437089164
3	0.7488012406	0.6319935694
4	0.7514988775	0.6230788912
5	0.7532657664	0.6148556412
6	0.7550451679	0.6077963067
7	0.7585957201	0.6007346644
8	0.7607401597	0.5957609146
9	0.7629527022	0.5921124866
10	0.7646967694	0.5886952442
11	0.7681665528	0.5852262808
12	0.7692036741	0.5822868285
13	0.7698695926	0.5798819012
14	0.77101419	0.5772419741
15	0.7731144114	0.5747023951
16	0.7751064958	0.5718840843
17	0.7772930954	0.5694646408
18	0.7786294251	0.5677477893
19	0.7808257147	0.5658227495
20	0.781878219	0.5639422823
21	0.7830729545	0.561868493
22	0.7847077541	0.5599094801
23	0.785658977	0.558632198
24	0.7865804988	0.5575892589
25	0.7870399807	0.5566798529
26	0.787744321	0.5557246804
27	0.7885890411	0.5547973615
28	0.7890130176	0.553939238
29	0.7898650132	0.5530635975
30	0.7904400071	0.5519193586
31	0.790895914	0.5513684988
32	0.7915165932	0.5503527015
33	0.7919437067	0.5496861826
34	0.7922934732	0.549130323
35	0.7928706627	0.5482348311
36	0.7935678907	0.5472972925
37	0.7942448767	0.5465557527
38	0.7946335765	0.5456792333
39	0.7951893317	0.5448001454
40	0.7958711209	0.5442541377
41	0.7962895755	0.5438038874
42	0.7970506486	0.5430770209
43	0.7973926459	0.5422576686
44	0.7976347652	0.541917045
45	0.7981011763	0.5412660177
46	0.7984082553	0.5408523482
47	0.7988045113	0.5403391321
48	0.7992030563	0.5396895331
49	0.7997521432	0.5391406814
50	0.8001659916	0.5386046763
51	0.8006240862	0.5380697597
52	0.8009262963	0.5375531205
53	0.8011577104	0.5373681656
54	0.8015632821	0.5369054176
55	0.801732348	0.5365076242
56	0.8021325213	0.5360730051
57	0.8023566101	0.535759923
58	0.8027415438	0.5353462776
59	0.8030853207	0.5350117115
60	0.8035178725	0.5344113745
61	0.8040712151	0.5337736866
62	0.8042980787	0.533441443
63	0.8047839893	0.5329133869
64	0.805198423	0.5324423781
65	0.8055016125	0.5320312059
66	0.8057942919	0.5316167337
67	0.8059610168	0.5313476073
68	0.8062099597	0.5309673625
69	0.8065253473	0.530614631
