iter	Logloss
0	0.6655008993
1	0.6425779402
2	0.6242947922
3	0.608673365
4	0.5942080823
5	0.5818370648
6	0.5718048344
7	0.5628531361
8	0.5556450239
9	0.5493922925
10	0.5435866714
11	0.5387407109
12	0.5342833513
13	0.5301001343
14	0.526910568
15	0.5239856896
16	0.5211435993
17	0.5186976032
18	0.5166616839
19	0.5147016911
20	0.5131925009
21	0.5115067948
22	0.5100274603
23	0.5084302015
24	0.5069686694
25	0.5057379814
26	0.5047355796
27	0.5037295092
28	0.5026720121
29	0.5018372253
30	0.5010335546
31	0.5001999047
32	0.4993867924
33	0.4987014392
34	0.4980240984
35	0.4973605453
36	0.4967514343
37	0.4961823878
38	0.4954967047
39	0.4947733572
40	0.4940210291
41	0.4934373777
42	0.4927929701
43	0.492215144
44	0.4917442317
45	0.491306527
46	0.4909506376
47	0.4905599671
48	0.4901280542
49	0.4897847638
50	0.489454876
51	0.4889996489
52	0.4886519151
53	0.4882450007
54	0.4878005647
55	0.4873840331
56	0.487095489
57	0.4867591063
58	0.4864355853
59	0.4859535879
60	0.4855646685
61	0.4851725333
62	0.4848501603
63	0.4844526546
64	0.4841593747
65	0.4838806755
66	0.4835564766
67	0.4833655545
68	0.482977485
69	0.4827039955
70	0.4823431044
71	0.482012436
72	0.4817674239
73	0.4813894971
74	0.4811354584
75	0.4807898133
76	0.4804960027
77	0.4802155014
78	0.4800259438
79	0.4797073609
80	0.4795320848
81	0.479173774
82	0.4788946708
83	0.4785475277
84	0.4781759559
85	0.477682071
86	0.4774048735
87	0.4770415408
88	0.476831601
89	0.4764433437
90	0.4761896636
91	0.4759052964
92	0.4756119533
93	0.4754207457
94	0.4752830324
95	0.4748028306
96	0.4745196242
97	0.474428986
98	0.4741969358
99	0.4740482846
100	0.4738350251
101	0.4735200531
102	0.4732842928
103	0.4729584162
104	0.4727045219
105	0.4723214905
106	0.4721975736
107	0.4720855143
108	0.471827449
109	0.4716019213
110	0.4714734711
111	0.4711567814
112	0.4708018678
113	0.4707272326
114	0.4704488006
115	0.4702519495
116	0.4700290211
117	0.4699768429
118	0.4698094039
119	0.4694533142
120	0.4690420062
121	0.4686728233
122	0.4685842655
123	0.4683337399
124	0.4682035205
125	0.467961058
126	0.4676572654
127	0.4674102431
128	0.4671487049
129	0.4669602696
130	0.4667067343
131	0.4664671151
132	0.4664101467
133	0.4663705571
134	0.4662924066
135	0.4659945021
136	0.4658794971
137	0.4656287007
138	0.4653121622
139	0.4650213285
140	0.4649732061
141	0.4647549759
142	0.4647224111
143	0.4643340636
144	0.4642362294
145	0.4640804727
146	0.4637092758
147	0.4633800095
148	0.4630499264
149	0.4628554927
150	0.4625986642
151	0.4623385332
152	0.4622047288
153	0.4621729394
154	0.4620863772
155	0.4618242457
156	0.4615021616
157	0.4611876553
158	0.460996668
159	0.4609475286
160	0.4605951519
161	0.4601958209
162	0.4600768721
163	0.4598486908
164	0.4595158078
165	0.4592361142
166	0.4588759186
167	0.4588395446
168	0.4586004554
169	0.4584138182
170	0.4582745579
171	0.4581042718
172	0.4579663489
173	0.4577539537
174	0.4573715316
175	0.4571425835
176	0.4567786338
