iter	Passed	Remaining
0	2158	695189
1	4296	689630
2	6409	683658
3	8570	683506
4	10719	681783
5	12810	676808
6	14968	675736
7	17106	673562
8	19279	672641
9	21456	671579
10	23590	669116
11	25732	666910
12	27897	665237
13	30023	662672
14	32185	660877
15	34321	658542
16	36508	657154
17	38671	655260
18	41463	663414
19	43691	661929
20	45813	658845
21	48067	657655
22	50324	656400
23	52626	655633
24	54881	654188
25	57026	651418
26	59148	648441
27	61265	645480
28	63389	642633
29	65514	639861
30	67671	637426
31	69820	634926
32	71923	632058
33	74076	629650
34	76187	626911
35	78339	624542
36	80507	622302
37	82614	619605
38	84791	617459
39	86956	615220
40	89122	612986
41	91273	610662
42	93434	608413
43	95542	605823
44	97655	603292
45	99783	600872
46	101866	598193
47	103978	595711
48	106064	593094
49	108180	590665
50	110484	589252
51	112710	587395
52	114853	585101
53	117049	583081
54	119335	581487
55	121936	581374
56	124507	581036
57	126791	579307
58	129058	577480
59	131382	575892
60	133637	573983
61	135967	572377
62	138552	571803
63	141110	571054
64	143804	570791
65	146371	569959
66	148729	568278
67	150988	566205
68	153300	564322
69	155601	562387
70	157902	560444
71	160132	558239
72	162324	555904
73	164602	553865
74	166838	551679
75	169081	549515
76	171343	547410
77	173635	545393
78	175898	543280
79	178196	541272
80	180472	539190
81	182772	537171
82	184996	534929
83	187308	532937
84	189611	530912
85	191951	528981
86	194189	526766
87	196465	524652
88	198697	522419
89	200991	520344
90	203221	518103
91	205461	515887
92	207703	513675
93	209979	511546
94	212242	509381
95	214490	507181
96	216724	504945
97	218881	502533
98	221271	500654
99	223986	499489
100	226595	498060
101	229372	496973
102	231868	495252
103	234389	493569
104	236870	491789
105	239440	490175
106	241976	488476
107	244455	486647
108	246950	484839
109	249467	483059
110	251916	481137
111	254579	479610
112	257125	477843
113	259634	475996
114	262320	474458
115	265130	473120
116	267679	471298
117	270175	469372
118	272786	467634
119	275371	465837
120	277854	463856
121	280907	462805
122	283437	460873
123	285943	458893
124	288392	456814
125	290898	454817
126	293498	452958
127	295953	450867
128	298444	448823
129	300779	446541
130	303465	444773
131	305949	442699
132	308417	440596
133	310836	438419
134	313110	436034
135	315572	433912
136	318167	431964
137	320696	429918
138	323158	427777
139	325561	425555
140	327866	423202
141	330291	421005
142	332729	418820
143	335270	416760
144	337631	414472
145	339973	412159
146	342356	409895
147	344622	407492
148	346885	405087
149	349159	402696
150	351545	400435
151	353891	398128
152	356208	395787
153	358509	393429
154	360863	391129
155	363156	388763
156	365482	386433
157	367764	384057
158	370155	381795
159	372427	379410
160	375126	377456
161	377794	375462
162	380287	373288
163	382802	371131
164	385370	369021
165	387893	366863
166	390358	364646
167	392709	362320
168	395276	360192
169	397715	357944
170	400224	355755
171	403001	353797
172	405449	351545
173	407790	349199
174	410256	346959
175	412611	344624
176	415206	342486
177	417514	340109
178	419801	337717
179	422081	335319
180	424346	332912
181	427112	330895
182	429461	328549
183	431877	326255
184	434199	323889
185	436585	321570
186	438836	319154
187	441354	316930
188	444013	314803
189	446599	312619
190	449093	310368
191	451677	308175
192	454170	305917
193	456580	303602
194	458886	301217
195	461231	298858
196	463631	296535
197	465969	294172
198	468281	291793
199	470776	289527
200	473052	287126
201	475355	284742
202	477697	282382
203	480186	280109
204	482699	277846
205	485392	275684
206	488064	273504
207	490488	271183
208	492788	268793
209	495165	266446
210	497542	264098
211	499861	261719
212	502152	259327
213	504421	256925
214	506647	254502
215	508901	252094
216	511167	249694
217	513355	247258
218	515604	244853
219	518070	242551
220	521347	240622
221	523893	238347
222	526835	236249
223	530005	234243
224	533020	232159
225	535553	229861
226	537983	227517
227	540374	225155
228	542720	222776
229	545045	220387
230	547267	217959
231	549471	215525
232	551760	213126
233	554241	210801
234	556823	208512
235	559317	206188
236	561808	203863
237	564179	201492
238	566509	199108
239	568735	196687
240	570889	194244
241	573079	191815
242	575340	189412
243	577543	186991
244	579844	184603
245	582119	182208
246	584360	179803
247	586710	177432
248	588983	175039
249	591196	172629
250	593487	170243
251	595720	167841
252	598247	165523
253	600772	163202
254	603120	160832
255	605449	158457
256	607714	156066
257	609837	153641
258	611959	151217
259	614113	148804
260	616275	146395
261	618453	143991
262	620680	141600
263	622863	139200
264	625047	136802
265	627163	134392
266	629289	131985
267	631455	129589
268	633643	127199
269	635766	124798
270	637962	122413
271	640151	120028
272	642315	117640
273	644449	115248
274	646689	112876
275	649176	110548
276	651745	108232
277	654146	105887
278	656578	103546
279	659078	101215
280	661492	98870
281	663816	96512
282	666243	94168
283	668858	91850
284	671238	89498
285	673635	87148
286	675930	84785
287	678226	82423
288	680527	80062
289	682833	77701
290	685123	75340
291	687469	72984
292	689727	70620
293	692035	68261
294	694285	65898
295	696584	63539
296	698862	61179
297	701134	58819
298	703528	56470
299	706089	54133
300	708563	51788
301	711097	49447
302	713565	47100
303	716025	44751
304	718773	42419
305	721593	40088
306	724184	37742
307	726658	35389
308	729218	33039
309	731699	30684
310	734110	28325
311	736443	25964
312	738789	23603
313	741176	21243
314	743582	18884
315	745931	16523
316	748133	14160
317	750500	11800
318	752880	9440
319	755184	7079
320	757466	4719
321	760332	2361
322	762609	0
