iter	Logloss
0	0.6554228125
1	0.6239326953
2	0.5973574609
3	0.5738110156
4	0.5530604297
5	0.5363869531
6	0.5220834375
7	0.508708125
8	0.4967367187
9	0.4875131641
10	0.4799566016
11	0.4729824609
12	0.4663245703
13	0.4602939453
14	0.4553051563
15	0.4506385156
16	0.4470758984
17	0.4442077734
18	0.4411250391
19	0.4382503906
20	0.435819375
21	0.4339132031
22	0.4322399219
23	0.4303102734
24	0.4281946484
25	0.4264399219
26	0.42521375
27	0.4236735547
28	0.4224876172
29	0.4210123047
30	0.4199713281
31	0.4191178125
32	0.4183851172
33	0.4172709375
34	0.4163001562
35	0.4156316797
36	0.4150717187
37	0.4142084766
38	0.4135535156
39	0.4127480859
40	0.4120689062
41	0.4113387891
42	0.4108277344
43	0.4095729687
44	0.4091898828
45	0.4086292969
46	0.4083029687
47	0.4079074609
48	0.4074186719
49	0.4069283594
50	0.406469375
51	0.4060633203
52	0.4057424219
53	0.4052807422
54	0.4049198047
55	0.4046380469
56	0.4043762891
57	0.4039769141
58	0.4035958984
59	0.4032883203
60	0.4029903516
61	0.4027286719
62	0.4024020703
63	0.4020689844
64	0.4015737891
65	0.40125
66	0.4010073828
67	0.4006605078
68	0.4003225391
69	0.4000869141
70	0.3997483594
71	0.3995973438
72	0.3993453906
73	0.3991289063
74	0.3989383984
75	0.3987553906
76	0.3985725781
77	0.3983471484
78	0.39822125
79	0.3980657812
80	0.397844375
81	0.397685625
82	0.3975058594
83	0.3968932031
84	0.3966534375
85	0.3962761719
86	0.3960679297
87	0.3958975391
88	0.3957639063
89	0.3954827344
90	0.3953845703
91	0.3950792969
92	0.3949411328
93	0.3947650781
94	0.3946524609
95	0.3943128516
96	0.3942202344
97	0.3939544922
98	0.3938488672
99	0.3937123047
100	0.3934845312
101	0.3933778906
102	0.3931749609
103	0.3930061328
104	0.3929311328
105	0.3928105469
106	0.3926816016
107	0.3925782422
108	0.3919599609
109	0.3918137109
110	0.3916847656
111	0.3916066797
112	0.391430625
113	0.3913323437
114	0.3911964063
115	0.3910865625
116	0.3909947266
117	0.3909223438
118	0.389996875
119	0.3898984375
120	0.3894694922
121	0.3893182813
122	0.3891607422
123	0.3890169922
124	0.3889258594
125	0.3887846094
126	0.388425
127	0.3883337109
128	0.3882254297
129	0.3881508984
130	0.3880339063
131	0.3879557813
132	0.3878275391
133	0.3877519531
134	0.3873994531
135	0.3873226563
136	0.3872373438
137	0.3871432813
138	0.3869986719
139	0.3869023047
140	0.3868355469
141	0.3867501562
142	0.3866427344
143	0.3865662891
144	0.3865010547
145	0.3864132422
146	0.3863299219
147	0.3862380469
148	0.3862008594
149	0.3861497266
150	0.3860771484
151	0.3859952344
152	0.3859000391
153	0.3858474219
154	0.3857389063
155	0.3856728125
156	0.385609375
157	0.3855110547
158	0.3854673438
159	0.3854304297
160	0.3853130859
161	0.3852665625
162	0.3849206641
163	0.3848505859
164	0.3847532031
165	0.3847062891
166	0.3846388672
167	0.3845338281
168	0.3844675391
169	0.3844125
170	0.3843545703
171	0.3843032031
172	0.3842314453
173	0.3841453125
174	0.3841011328
175	0.3839975781
176	0.3838940625
177	0.3838471484
178	0.3837851172
179	0.383705625
180	0.3836722656
181	0.3835526953
182	0.3834690234
183	0.3833734375
184	0.3833149609
185	0.3831673047
186	0.3831233594
187	0.3829936719
188	0.3829558594
189	0.3828366406
190	0.3827867187
191	0.3827005859
192	0.3826234375
193	0.3825587109
194	0.3825317969
195	0.3824719922
196	0.3824146875
197	0.3820322656
198	0.3819637891
199	0.3818864453
200	0.3817655469
201	0.3817042187
202	0.3816691406
203	0.3816112891
204	0.3813421484
205	0.3813059766
206	0.3812533984
207	0.3811957031
208	0.3811541016
209	0.3810942578
210	0.3810571875
211	0.3809119141
212	0.3808439062
213	0.3807922266
214	0.3807221484
215	0.3806867969
216	0.3804562891
217	0.3804038672
218	0.38036
219	0.3802290625
220	0.3801386328
221	0.3800992188
222	0.3800318359
223	0.3799038672
224	0.379864375
225	0.3798168359
226	0.3797772656
227	0.3797359766
228	0.3797016406
229	0.3796341406
230	0.379320625
231	0.3792361328
232	0.3791726953
233	0.3791340625
234	0.3790944141
235	0.3790644141
236	0.3788008203
237	0.3787301563
238	0.3784955078
239	0.378434375
240	0.3783946875
241	0.3783284766
242	0.3782307812
243	0.3781782031
244	0.3781030469
245	0.3779294922
246	0.3778999219
247	0.3778647656
248	0.3778024219
249	0.3777649219
250	0.3777276172
251	0.3776506641
252	0.3775965625
253	0.3775401172
254	0.3774952344
255	0.3774608203
256	0.37740125
257	0.3773424219
258	0.3772747656
259	0.3770804688
260	0.3770303516
261	0.3768933594
262	0.3768565234
263	0.3768412891
264	0.3767961328
265	0.3766702734
266	0.3766215234
267	0.3765841406
268	0.3765403516
269	0.3764751562
270	0.3764467969
271	0.3763745312
272	0.3763415625
273	0.3763130859
274	0.3762379297
275	0.3762160156
276	0.3761790234
277	0.3761303125
278	0.3760874219
279	0.3759613281
280	0.3759190234
281	0.3758700391
282	0.3758335547
283	0.3755567969
284	0.3755088672
285	0.3754610937
286	0.3753826953
287	0.3753353906
288	0.3753098828
289	0.3752144141
290	0.3751749609
291	0.3751108594
292	0.3750421484
293	0.3749698047
294	0.3749359375
295	0.3749060938
296	0.3748851563
297	0.3748539844
298	0.3747956641
299	0.3747475
300	0.3746920703
301	0.3746449609
302	0.3746103906
303	0.3745814453
304	0.3745213672
305	0.3744754687
306	0.3744191797
307	0.374395
308	0.3743758594
309	0.3743210156
310	0.3742866797
311	0.3742152344
312	0.3741317578
313	0.374115625
314	0.3740845313
315	0.3740457031
316	0.3740026953
317	0.3739466016
318	0.3739216406
319	0.3738684766
320	0.3738152344
321	0.3737660547
322	0.3737271094
323	0.3730053516
324	0.3729737109
325	0.3729428125
326	0.3728832812
327	0.3728501953
328	0.3728248828
329	0.3727678906
330	0.3727202344
331	0.3726478125
332	0.3726217578
333	0.3725411719
334	0.3724947656
335	0.3724375
336	0.3723563281
337	0.3723116016
338	0.3715032812
339	0.3714519531
340	0.3713728125
341	0.3707530859
342	0.3707309375
343	0.37068625
344	0.3706613281
345	0.3706454687
346	0.3705890625
347	0.370541875
348	0.3704954688
349	0.3704497266
350	0.3704201953
351	0.3704046094
352	0.3703678906
353	0.3703391406
354	0.3702532422
355	0.3702370703
356	0.3701953125
357	0.3701377734
358	0.3700908984
359	0.3700353516
360	0.3700004687
361	0.3699898047
362	0.3697997656
363	0.3697640234
364	0.3697341016
365	0.3696958203
366	0.3696466016
367	0.3696294141
368	0.3695995313
369	0.3695629297
370	0.3695233984
371	0.3694931641
372	0.3694733203
373	0.3694504297
374	0.3694351563
375	0.3693717188
376	0.3693383203
377	0.3693153906
378	0.3686303516
379	0.3686051172
380	0.3685601172
381	0.3685277344
382	0.3684005859
383	0.3683583984
384	0.3683248047
385	0.3682070312
386	0.3681638672
387	0.3681129297
388	0.3680685547
389	0.3680235547
390	0.3677637891
391	0.3671900781
392	0.367165
393	0.3669165625
394	0.3668816016
395	0.3668618359
396	0.3668033594
397	0.3667005078
398	0.36665875
399	0.3666407812
400	0.3665834766
401	0.366555
402	0.3665119922
403	0.3664380469
404	0.3664032422
405	0.3663239453
406	0.3663091797
407	0.366280625
408	0.3656613281
409	0.3656357422
410	0.3650246094
411	0.3644985937
412	0.3644578906
413	0.3644184766
414	0.3640702734
415	0.3640470703
416	0.3640015625
417	0.3638651172
418	0.3638258594
419	0.3637966406
420	0.3637511719
421	0.3636314844
422	0.3635986328
423	0.3635565234
424	0.3635123828
425	0.3634587109
426	0.3634437891
427	0.3634128516
428	0.3629792187
429	0.3628537891
430	0.3624808203
431	0.3623986719
432	0.3623759766
433	0.3623585938
434	0.3622244922
435	0.3621897266
436	0.3621507812
437	0.3620798047
438	0.3619603125
439	0.3619203516
440	0.3618720313
441	0.3617818359
442	0.3616989453
443	0.3616698047
444	0.3616526562
445	0.3616189844
446	0.3615909766
447	0.3615438672
448	0.3614949219
449	0.3614735937
450	0.3614185938
451	0.3607190625
452	0.3606904297
453	0.3600987891
454	0.3599508594
455	0.3598960547
456	0.3598388672
457	0.3594761328
458	0.3590701562
459	0.3590399609
460	0.3589728906
461	0.3587383203
462	0.3587025391
463	0.3586757031
464	0.3581113672
465	0.3578263672
466	0.3576448047
467	0.3576073828
468	0.3575583984
469	0.3575089062
470	0.3572578125
471	0.3572464453
472	0.3572125
473	0.356988125
474	0.3569107031
475	0.3564701172
476	0.3562739062
477	0.3560755078
478	0.3558917969
479	0.3558157813
480	0.3557623047
481	0.3557249219
482	0.3553463672
483	0.3552701172
484	0.3552211719
485	0.3551995703
486	0.3551633203
487	0.3550628906
488	0.3550443359
489	0.3549923047
490	0.35495625
491	0.3549091016
492	0.3548716406
493	0.3548352344
494	0.3546737109
495	0.3546560156
496	0.3545211719
497	0.3544576172
498	0.3544063672
499	0.3543781641
500	0.3543298437
501	0.3542594922
502	0.3542340625
503	0.3541863281
504	0.3541450781
505	0.3541021094
506	0.3540313672
507	0.3540064063
508	0.3539890234
509	0.3538225781
510	0.353716875
511	0.3536576172
512	0.3536347266
513	0.3535958594
514	0.35356125
515	0.3535322656
516	0.3534941016
517	0.3534599219
518	0.3534241016
519	0.3533463672
520	0.3533026563
521	0.3532801953
522	0.3532226562
523	0.3531898828
524	0.3531633203
525	0.3531328906
526	0.3531146094
527	0.3530846875
528	0.3530515625
529	0.3530140625
530	0.3529781641
531	0.3529392578
532	0.3529075391
533	0.3528762891
534	0.3528298047
535	0.3528034766
536	0.3527148047
537	0.3526828906
538	0.3526444922
539	0.3525942578
540	0.3525688281
541	0.3524876953
542	0.3524522656
543	0.3524257813
544	0.3523955859
545	0.3523549609
546	0.3523326562
547	0.3521465625
548	0.3520967187
549	0.3520656641
550	0.3520445703
551	0.3520196484
552	0.3519682422
553	0.3519425781
554	0.3519270313
555	0.3518558203
556	0.3518108203
557	0.3517664844
558	0.3517247266
559	0.3516822266
560	0.3516451953
561	0.3516199609
562	0.3515358594
563	0.3515092188
564	0.3514518359
565	0.3514131641
566	0.3513723437
567	0.3510680469
568	0.3510549609
569	0.3510441797
570	0.3509846484
571	0.3509398828
572	0.3509178906
573	0.3508576172
574	0.3508182422
575	0.3507827344
576	0.3507507422
577	0.3507333203
578	0.3506979687
579	0.3506597266
580	0.3506273828
581	0.3505748828
582	0.3505666797
583	0.3505347656
584	0.3505038281
585	0.3501946094
586	0.3499621094
587	0.3499150391
588	0.3498976172
589	0.3496640625
590	0.3495244922
591	0.3494810938
592	0.3494445313
593	0.3493590625
594	0.3493155469
595	0.3492694531
596	0.3491824609
597	0.3491192578
598	0.3490821484
599	0.3490606641
600	0.3490150781
601	0.3490039844
602	0.3489175391
603	0.3488895703
604	0.3486712891
605	0.3486551953
606	0.3486300391
607	0.3485999219
608	0.3484834766
609	0.3484264062
610	0.3483810547
611	0.3483482422
612	0.3483237891
613	0.348294375
614	0.3482371875
615	0.3481989453
616	0.3481555078
617	0.3481273047
618	0.3481035937
619	0.3480718359
620	0.3480246875
621	0.3479910937
622	0.3479605078
623	0.347941875
624	0.3479254297
625	0.3478907422
626	0.3478506641
627	0.3478392969
628	0.34781
629	0.3477746875
630	0.3477485547
631	0.3477189453
632	0.3477047266
633	0.3476732031
634	0.3475761328
635	0.3475457422
636	0.3475171875
637	0.3474830469
638	0.3474537891
639	0.3474296094
640	0.3474027344
641	0.3473697656
642	0.3473191016
643	0.3472671484
644	0.347226875
645	0.3472071094
646	0.3471989844
647	0.3471601563
648	0.34712375
649	0.347090625
650	0.3470524219
651	0.3470042187
652	0.346815
653	0.3467798828
654	0.3467420313
655	0.3466911719
656	0.3466438672
657	0.3466249609
658	0.3465985156
659	0.3463705078
660	0.3463312891
661	0.3463116016
662	0.3462957422
663	0.3462617188
664	0.3462389062
665	0.3461884766
666	0.3461579297
667	0.3461195313
668	0.3460779297
669	0.3460196094
670	0.3459851562
671	0.3459287891
672	0.3458911719
673	0.3458769141
674	0.345859375
675	0.3458227734
676	0.3455466406
677	0.3455273047
678	0.3455050781
679	0.3454838672
680	0.3454423047
681	0.3454264062
682	0.3453599219
683	0.3453328516
684	0.3453019141
685	0.3451269141
686	0.3450816016
687	0.3450495703
688	0.3450366016
689	0.3450160156
690	0.3449908594
691	0.3447624609
692	0.3447166016
693	0.3446782031
694	0.3446439453
695	0.3446136328
696	0.3445987109
697	0.3445813672
698	0.3445408594
699	0.3444952734
700	0.3444716016
701	0.3444428125
702	0.3442135937
703	0.3441925391
704	0.3441628906
705	0.3441273437
706	0.3441059375
707	0.3440771094
708	0.3440469531
709	0.3440151953
710	0.3439923828
711	0.3439597266
712	0.3439455078
713	0.3439323828
714	0.3439123047
715	0.3438922266
716	0.3438625
717	0.3438332031
718	0.3438172656
719	0.3437714844
720	0.343515
721	0.343438125
722	0.3434024219
723	0.3433614063
724	0.3433219922
725	0.3432689453
726	0.3432330859
727	0.3431870312
728	0.3431325391
729	0.3431039844
730	0.3430828906
731	0.3430583984
732	0.3428673047
733	0.3426106641
734	0.3425736328
735	0.34255875
736	0.3425063281
737	0.3424680469
738	0.3424135547
739	0.3423655469
740	0.3423292578
741	0.3423078906
742	0.3422851563
743	0.3422357031
744	0.3421835156
745	0.3421271094
746	0.3420917578
747	0.3420567187
748	0.3420351563
749	0.3420047656
750	0.3419527344
751	0.3419338281
752	0.3419176562
753	0.3418832031
754	0.3418527344
755	0.3418182422
756	0.3417834766
757	0.3417558203
758	0.3417367969
759	0.3417091016
760	0.3416939844
761	0.3414380859
762	0.3414029297
763	0.3413820312
764	0.3412701563
765	0.3411874609
766	0.3411593359
767	0.3411148828
768	0.3410345312
769	0.3410102734
770	0.3409700781
771	0.3408200781
772	0.3407407813
773	0.3407302344
774	0.3407063672
775	0.3406794141
776	0.3406570703
777	0.3406356641
778	0.3406085547
779	0.3405935937
780	0.3405723438
781	0.3405404687
782	0.3404805859
783	0.3404048828
784	0.3403710156
785	0.3403440625
786	0.3403219141
787	0.3402857812
788	0.3402610156
789	0.3402317969
790	0.3401908594
791	0.340151875
792	0.3401261328
793	0.3401124219
794	0.3398983203
795	0.3398559375
796	0.3398150391
797	0.3397948828
798	0.3397690625
799	0.3395941406
800	0.3395538672
801	0.3395022656
802	0.3394441797
803	0.3393825
804	0.3393496484
805	0.3393155859
806	0.3392869531
807	0.3392695312
808	0.3392548437
809	0.3392261719
810	0.3392110547
811	0.3391791797
812	0.3391570703
813	0.3391101953
814	0.3390914063
815	0.3390550781
816	0.3390229297
817	0.3389889844
818	0.3389485156
819	0.3388720312
820	0.3388308984
821	0.3388041016
822	0.3387658203
823	0.3387348047
824	0.3387010547
825	0.3384379297
826	0.3384158203
827	0.3383745703
828	0.3383419141
829	0.3383307422
830	0.3382608203
831	0.3382320313
832	0.3382096484
833	0.3381585156
834	0.3381303125
835	0.3380718359
836	0.3379624609
837	0.3379341406
838	0.3379110938
839	0.337891875
840	0.3378349609
841	0.3378075
842	0.3377746875
843	0.3377503125
844	0.3377084375
845	0.3376712891
846	0.337648125
847	0.3376134375
848	0.3375915234
