iter	Passed	Remaining
0	86	86776
1	158	79210
2	252	84010
3	335	83416
4	399	79531
5	494	81923
6	573	81377
7	661	81998
8	746	82149
9	832	82450
10	911	81947
11	979	80613
12	1066	80997
13	1141	80378
14	1222	80246
15	1329	81757
16	1425	82436
17	1513	82581
18	1600	82633
19	1677	82180
20	1751	81667
21	1832	81455
22	1918	81507
23	1988	80872
24	2073	80848
25	2170	81297
26	2276	82050
27	2371	82324
28	2457	82283
29	2551	82507
30	2643	82623
31	2721	82329
32	2809	82338
33	2895	82254
34	2979	82141
35	3057	81877
36	3132	81539
37	3217	81457
38	3304	81422
39	3392	81431
40	3472	81233
41	3571	81462
42	3653	81305
43	3729	81027
44	3807	80809
45	3901	80907
46	3984	80796
47	4075	80821
48	4165	80846
49	4251	80778
50	4349	80926
51	4449	81114
52	4534	81014
53	4608	80733
54	4684	80488
55	4771	80435
56	4852	80284
57	4939	80222
58	5025	80149
59	5111	80072
60	5191	79921
61	5269	79727
62	5355	79656
63	5437	79525
64	5520	79412
65	5618	79506
66	5709	79500
67	5787	79319
68	5879	79324
69	5971	79338
70	6065	79361
71	6152	79301
72	6238	79220
73	6329	79199
74	6429	79299
75	6534	79441
76	6609	79223
77	6712	79345
78	6805	79344
79	6887	79206
80	6973	79115
81	7062	79061
82	7147	78971
83	7234	78888
84	7325	78859
85	7410	78753
86	7503	78746
87	7589	78655
88	7667	78485
89	7753	78399
90	7828	78201
91	7911	78081
92	7988	77911
93	8077	77849
94	8159	77727
95	8250	77690
96	8340	77641
97	8419	77494
98	8506	77416
99	8580	77220
100	8656	77048
101	8741	76959
102	8830	76901
103	8915	76806
104	9000	76719
105	9087	76643
106	9174	76571
107	9248	76389
108	9329	76261
109	9403	76086
110	9499	76082
111	9584	75989
112	9672	75925
113	9759	75852
114	9835	75694
115	9936	75720
116	10011	75560
117	10111	75578
118	10193	75468
119	10284	75421
120	10367	75314
121	10450	75211
122	10528	75070
123	10612	74971
124	10707	74949
125	10797	74896
126	10878	74777
127	10963	74686
128	11056	74655
129	11144	74581
130	11228	74487
131	11308	74359
132	11397	74297
133	11479	74187
134	11569	74131
135	11665	74110
136	11752	74031
137	11837	73942
138	11927	73882
139	12017	73820
140	12098	73704
141	12184	73620
142	12258	73464
143	12348	73402
144	12437	73335
145	12520	73236
146	12603	73133
147	12676	72976
148	12757	72862
149	12851	72826
150	12939	72752
151	13031	72701
152	13120	72635
153	13195	72490
154	13291	72459
155	13380	72390
156	13470	72328
157	13559	72260
158	13626	72075
159	13704	71950
160	13786	71844
161	13883	71817
162	13969	71732
163	14052	71635
164	14140	71557
165	14221	71450
166	14314	71402
167	14393	71280
168	14485	71225
169	14560	71089
170	14636	70956
171	14733	70926
172	14818	70839
173	14894	70708
174	14990	70671
175	15081	70607
176	15172	70549
177	15266	70500
178	15363	70466
179	15441	70344
180	15525	70251
181	15611	70165
182	15702	70101
183	15782	69990
184	15870	69916
185	15953	69818
186	16040	69738
187	16128	69663
188	16229	69639
189	16309	69529
190	16399	69463
191	16489	69391
192	16573	69300
193	16657	69206
194	16744	69124
195	16838	69070
196	16919	68967
197	17004	68875
198	17090	68790
199	17178	68712
200	17253	68584
201	17349	68539
202	17421	68397
203	17520	68364
204	17616	68317
205	17698	68215
206	17804	68207
207	17896	68144
208	17981	68054
209	18072	67988
210	18157	67897
211	18239	67796
212	18320	67691
213	18415	67639
214	18506	67570
215	18585	67459
216	18674	67383
217	18760	67295
218	18853	67234
219	18932	67124
220	19021	67046
221	19091	66906
222	19183	66840
223	19263	66735
224	19351	66656
225	19430	66543
226	19512	66445
227	19604	66379
228	19682	66266
229	19768	66181
230	19848	66077
231	19936	65996
232	20017	65893
233	20095	65781
234	20168	65654
235	20254	65568
236	20343	65494
237	20429	65408
238	20518	65332
239	20604	65247
240	20685	65147
241	20767	65049
242	20852	64961
243	20937	64872
244	21007	64738
245	21088	64636
246	21165	64526
247	21244	64417
248	21322	64311
249	21396	64190
250	21478	64093
251	21573	64036
252	21663	63962
253	21745	63867
254	21828	63772
255	21907	63667
256	21988	63570
257	22092	63538
258	22157	63394
259	22242	63305
260	22322	63205
261	22407	63116
262	22494	63037
263	22575	62937
264	22655	62837
265	22732	62728
266	22818	62643
267	22897	62542
268	22979	62445
269	23070	62376
270	23157	62294
271	23243	62211
272	23343	62162
273	23428	62077
274	23515	61995
275	23593	61891
276	23682	61813
277	23755	61696
278	23825	61571
279	23911	61486
280	24009	61433
281	24098	61358
282	24193	61297
283	24276	61204
284	24371	61143
285	24456	61055
286	24539	60965
287	24630	60891
288	24719	60815
289	24813	60749
290	24892	60648
291	24979	60566
292	25056	60461
293	25141	60374
294	25235	60309
295	25308	60194
296	25408	60141
297	25501	60075
298	25582	59977
299	25656	59865
300	25726	59743
301	25800	59632
302	25884	59543
303	25977	59475
304	26064	59393
305	26161	59332
306	26228	59206
307	26316	59126
308	26403	59043
309	26485	58950
310	26574	58874
311	26652	58773
312	26743	58699
313	26818	58590
314	26896	58488
315	26980	58400
316	27063	58310
317	27142	58211
318	27225	58120
319	27302	58016
320	27377	57910
321	27469	57838
322	27556	57757
323	27644	57678
324	27716	57565
325	27813	57504
326	27892	57406
327	27969	57302
328	28053	57214
329	28149	57152
330	28217	57030
331	28312	56965
332	28393	56872
333	28479	56787
334	28559	56692
335	28640	56599
336	28724	56511
337	28815	56437
338	28889	56330
339	28971	56239
340	29054	56148
341	29128	56043
342	29209	55948
343	29304	55883
344	29400	55819
345	29482	55727
346	29558	55625
347	29633	55519
348	29708	55415
349	29792	55329
350	29883	55254
351	29963	55159
352	30049	55076
353	30135	54992
354	30203	54876
355	30281	54779
356	30378	54715
357	30446	54599
358	30515	54485
359	30591	54385
360	30687	54319
361	30764	54220
362	30853	54142
363	30935	54052
364	31010	53948
365	31083	53844
366	31170	53762
367	31248	53665
368	31329	53574
369	31410	53482
370	31503	53411
371	31598	53343
372	31670	53236
373	31754	53151
374	31829	53048
375	31910	52958
376	31995	52873
377	32074	52778
378	32153	52683
379	32237	52597
380	32337	52537
381	32430	52465
382	32525	52397
383	32597	52292
384	32686	52213
385	32775	52134
386	32857	52045
387	32945	51964
388	33032	51884
389	33129	51817
390	33213	51730
391	33286	51628
392	33364	51532
393	33450	51448
394	33546	51381
395	33622	51282
396	33712	51205
397	33811	51142
398	33878	51029
399	33963	50945
400	34058	50874
401	34143	50790
402	34225	50701
403	34310	50616
404	34405	50545
405	34494	50467
406	34566	50363
407	34643	50267
408	34728	50181
409	34818	50105
410	34891	50003
411	34965	49902
412	35049	49816
413	35135	49733
414	35213	49637
415	35287	49537
416	35383	49469
417	35470	49387
418	35557	49305
419	35636	49212
420	35714	49117
421	35802	49038
422	35889	48956
423	35964	48857
424	36047	48769
425	36128	48679
426	36204	48583
427	36293	48504
428	36377	48418
429	36466	48338
